batch,pair,source_name,target_name,cost_9,angle_9,cost_16,angle_16,cost_32,angle_32,cost_64,angle_64,cost_128,angle_128,cost_196,angle_196,cost_256,angle_256,cost_384,angle_384,cost_512,angle_512,angle_global,cost_global
001_02,2,001_ST_V19S23_106_2_02.tif,001_MP_F3.vsi - 20x_BF_02.tif,-0.11533696204423904,302,-0.07352038472890854,302,-0.06316304951906204,302,-0.09493766725063324,306,-0.2083740085363388,90,-0.3414722979068756,91,-0.444191575050354,86,-0.5678244829177856,86,-0.6455463767051697,86,86.0,-0.5944309830665588
001_02,3,001_MP_F3.vsi - 20x_BF_02.tif,001 M+ V6 HES.vsi - 20x_BF_02.tif,-0.11938746273517609,302,-0.08161718398332596,300,-0.08101586997509003,301,-0.1401086151599884,301,-0.3092583119869232,304,-0.4605008363723755,302,-0.5525586009025574,303,-0.6407548189163208,201,-0.7046238780021667,201,201.0,-0.6901962161064148
001_02,4,001 M+ V6 HES.vsi - 20x_BF_02.tif,001 M- V7 HES.vsi - 20x_BF_02.tif,-0.12493627518415451,347,-0.09178701788187027,347,-0.10251998156309128,348,-0.1821172833442688,348,-0.3294808864593506,348,-0.4556785821914673,345,-0.5396971106529236,344,-0.5781481862068176,349,-0.676075279712677,348,348.0,-0.6620263457298279
001_02,5,001 M- V7 HES.vsi - 20x_BF_02.tif,001  MM V8.vsi - 20x_BF_02.tif,-0.09659560769796371,338,-0.06234027445316315,237,-0.051767781376838684,239,-0.07035570591688156,239,-0.16163648664951324,239,-0.24487921595573425,244,-0.3247487246990204,243,-0.374687135219574,241,-0.4654681384563446,241,241.0,-0.4421001672744751
001_02,6,001  MM V8.vsi - 20x_BF_02.tif,001_LPS_F9_094012_202205.vsi - 40x_BF_02.tif,-0.10849937796592712,306,-0.07759426534175873,306,-0.0763494074344635,306,-0.12752991914749146,307,-0.28774091601371765,305,-0.4330768287181854,306,-0.5417312383651733,305,-0.6107567548751831,306,-0.681469738483429,305,305.0,-0.7159263491630554
001_02,7,001_LPS_F9_094012_202205.vsi - 40x_BF_02.tif,001_LTA_F10_095324_202205.vsi - 40x_BF_02.tif,-0.10530339181423187,19,-0.07701350748538971,19,-0.08483884483575821,20,-0.14903217554092407,20,-0.3175310790538788,20,-0.4557039439678192,20,-0.5391435623168945,20,-0.6593126654624939,20,-0.7046583890914917,20,20.0,-0.7296159863471985
001_02,8,001_LTA_F10_095324_202205.vsi - 40x_BF_02.tif,001 HE R11_2.vsi - 20x_02.tif,-0.11349897086620331,128,-0.0796317309141159,127,-0.07791915535926819,128,-0.10702047497034073,127,-0.21832148730754852,334,-0.3234540820121765,127,-0.3934389352798462,318,-0.5458264946937561,126,-0.591576874256134,126,126.0,-0.564967155456543
001_02,9,001 HE R11_2.vsi - 20x_02.tif,001 HE R21_2.vsi - 20x_02.tif,-0.13553132116794586,325,-0.09900367259979248,324,-0.09134924411773682,324,-0.14061188697814941,323,-0.27817702293395996,37,-0.3928779661655426,331,-0.49449974298477173,331,-0.5850566625595093,38,-0.6856430768966675,334,334.0,-0.6489923000335693
045_04,1,045 HE R1_1.vsi - 20x_04.tif,045_ST_V10A20_008_4_04.tif,-0.14353503286838531,167,-0.116109699010849,167,-0.152327299118042,167,-0.2710287272930145,167,-0.4661957919597626,166,-0.6219289898872375,167,-0.7052819132804871,166,-0.7989461421966553,167,-0.8460794687271118,166,166.0,-0.813999593257904
045_04,2,045_ST_V10A20_008_4_04.tif,045_MP_F3.vsi - old_05 - 20x_BF_04.tif,-0.11437570303678513,3,-0.07289357483386993,3,-0.054409198462963104,3,-0.09347708523273468,3,-0.23897770047187805,4,-0.4027334749698639,4,-0.4986357092857361,4,-0.6342371106147766,4,-0.6971137523651123,4,4.0,-0.6588836908340454
